City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
121,Salalah,17.02,54.09,78.8,65,0,1.12,OM,2020-10-30 05:18:23
122,Pisco,-13.7,-76.22,62.6,82,90,13.87,PE,2020-10-30 05:18:24
123,Touros,-5.2,-35.46,73.4,88,20,3.36,BR,2020-10-30 05:13:34
124,Neryungri,56.67,124.65,23.13,94,96,0.34,RU,2020-10-30 05:16:37
125,Asau,46.43,26.4,48.0,88,100,3.2,RO,2020-10-30 05:18:25
126,Bozuyuk,39.91,30.04,51.8,100,75,1.81,TR,2020-10-30 05:18:25
127,Ozernovskiy,51.5,156.52,43.79,72,41,3.56,RU,2020-10-30 05:18:25
128,Cabo San Lucas,22.89,-109.91,69.8,73,5,11.41,MX,2020-10-30 05:15:28
129,Kakanj,44.13,18.12,42.8,100,40,1.12,BA,2020-10-30 05:18:26
130,Saint-Joseph,-21.37,55.62,75.2,53,75,23.04,RE,2020-10-30 05:18:26
131,Khorol,49.78,33.28,47.66,74,67,1.23,UA,2020-10-30 05:18:27
132,Padang,-0.95,100.35,87.3,61,47,7.27,ID,2020-10-30 05:18:27
133,Morros,-9.45,-46.3,74.61,89,100,1.81,BR,2020-10-30 05:18:28
134,Alta Floresta,-9.88,-56.09,72.5,93,97,3.51,BR,2020-10-30 05:15:27
135,Norfolk,42.17,-71.25,44.01,93,100,18.34,US,2020-10-30 05:15:02
136,Sao Filipe,14.9,-24.5,80.28,67,2,12.28,CV,2020-10-30 05:15:23
137,Tando Muhammad Khan,25.12,68.54,87.24,26,0,4.21,PK,2020-10-30 05:18:29
138,Dongfeng,42.64,125.51,48.29,46,9,4.41,CN,2020-10-30 05:18:29
139,Torbay,47.67,-52.73,39.99,76,88,1.99,CA,2020-10-30 05:18:29
140,Ambilobe,-13.2,49.05,85.64,39,4,10.67,MG,2020-10-30 05:18:30
141,Bluff,-46.6,168.33,60.01,92,100,3.0,NZ,2020-10-30 05:15:07
142,Quatre Cocos,-20.21,57.76,75.0,50,7,13.0,MU,2020-10-30 05:15:58
143,Puerto Del Rosario,28.5,-13.86,68.0,72,0,9.17,ES,2020-10-30 05:18:31
144,Walvis Bay,-22.96,14.51,55.0,87,14,2.24,NA,2020-10-30 05:18:31
145,Srednekolymsk,67.45,153.68,4.21,94,100,1.59,RU,2020-10-30 05:18:32
146,Nome,64.5,-165.41,15.8,85,1,4.7,US,2020-10-30 05:18:32
147,Carnarvon,-24.87,113.63,78.8,65,0,17.22,AU,2020-10-30 05:18:33
148,Dikson,73.51,80.55,9.68,93,100,26.33,RU,2020-10-30 05:18:33
149,San Cristobal,7.77,-72.22,65.75,88,88,2.28,VE,2020-10-30 05:18:34
150,Leh,34.17,77.58,33.22,63,18,4.54,IN,2020-10-30 05:18:35
151,Hambantota,6.12,81.12,84.99,63,79,5.37,LK,2020-10-30 05:18:35
152,Puntarenas,9.98,-84.84,69.8,100,0,4.7,CR,2020-10-30 05:18:35
153,Lufilufi,-13.87,-171.6,78.01,100,90,12.75,WS,2020-10-30 05:18:35
154,Karakol,42.49,78.39,39.49,56,0,2.82,KG,2020-10-30 05:18:36
155,Chumikan,54.72,135.31,38.08,76,100,17.36,RU,2020-10-30 05:18:36
156,Riom,45.92,2.92,48.0,87,0,3.36,FR,2020-10-30 05:18:36
157,Batticaloa,7.71,81.69,86.97,58,19,9.1,LK,2020-10-30 05:18:37
158,Yellowknife,62.46,-114.35,12.99,94,100,1.74,CA,2020-10-30 05:14:35
159,Pollachi,10.67,77.02,86.0,45,20,11.41,IN,2020-10-30 05:18:38
160,Tuatapere,-46.13,167.68,60.01,92,100,3.0,NZ,2020-10-30 05:18:38
161,Portland,45.52,-122.68,51.01,87,20,0.4,US,2020-10-30 05:16:14
162,Manacapuru,-3.3,-60.62,75.2,94,75,4.7,BR,2020-10-30 05:18:38
