City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
226,Los Llanos De Aridane,ES,28.66,-17.92,80.6,22,0,10.29,clear sky
227,Sao Joao Da Barra,BR,-21.64,-41.05,70.23,90,100,12.55,light rain
228,Piedras Negras,MX,28.7,-100.52,80.6,54,20,6.93,few clouds
229,Santo Antonio Do Ica,BR,-3.1,-67.94,73.06,93,100,2.33,overcast clouds
230,Clearwater,US,27.97,-82.8,82.4,61,97,3.36,overcast clouds
231,Vestmannaeyjar,IS,63.44,-20.27,42.82,69,5,5.57,clear sky
232,San Patricio,US,28.02,-97.52,73.4,56,20,11.41,few clouds
233,Ancud,CL,-41.87,-73.82,64.4,52,0,6.93,clear sky
234,Grand Gaube,MU,-20.01,57.66,66.2,82,40,8.05,shower rain
235,Kuah,MY,6.33,99.84,78.8,88,20,4.7,few clouds
236,Tongliao,CN,43.61,122.27,37.27,71,0,10.29,clear sky
237,Christchurch,NZ,-43.53,172.63,62.01,67,59,16.11,broken clouds
238,Golden,US,39.76,-105.22,55.99,32,5,6.93,clear sky
239,Redlands,US,34.06,-117.18,93.2,7,40,8.05,scattered clouds
240,Vauvert,FR,43.7,4.28,55.4,87,90,2.24,overcast clouds
241,Mar Del Plata,AR,-38.0,-57.56,61.0,71,0,5.82,clear sky
242,Tibati,CM,6.47,12.63,70.75,68,76,2.44,broken clouds
243,Bowen,AU,-20.02,148.23,80.6,65,0,10.29,clear sky
244,Avera,US,33.19,-82.53,62.6,67,90,6.93,overcast clouds
245,Huarmey,PE,-10.07,-78.15,64.11,79,92,8.23,overcast clouds
246,Coruripe,BR,-10.13,-36.18,77.61,84,53,12.5,broken clouds
247,Norman Wells,CA,65.28,-126.83,3.2,84,20,3.36,few clouds
248,Montauban,FR,44.08,1.5,52.0,93,55,4.7,broken clouds
249,Moussoro,TD,13.64,16.49,82.83,19,0,13.87,clear sky
250,Katsuura,JP,35.13,140.3,57.99,67,75,12.75,broken clouds
251,Victor Harbor,AU,-35.57,138.62,60.01,70,10,8.75,clear sky
252,Birin,NP,26.89,88.07,57.15,68,22,3.98,few clouds
253,Oum Hadjer,TD,13.3,19.7,83.7,22,14,13.27,few clouds
254,Bisho,ZA,-32.85,27.44,53.46,91,83,5.46,broken clouds
255,Konin,PL,52.22,18.25,43.0,94,15,4.0,few clouds
256,Salalah,OM,17.02,54.09,73.4,35,0,4.7,clear sky
257,Oskaloosa,US,41.3,-92.64,62.6,42,40,13.87,scattered clouds
258,Nelson Bay,AU,-32.72,152.15,66.0,82,75,10.29,light intensity shower rain
259,Sitka,US,57.05,-135.33,51.8,87,90,16.11,moderate rain
260,Kurilsk,RU,45.23,147.88,47.17,71,94,7.67,overcast clouds
261,Kloulklubed,PW,7.04,134.26,80.6,78,90,9.17,shower rain
262,Kansanshi,ZM,-12.1,26.43,64.29,49,65,4.72,broken clouds
263,Havre-Saint-Pierre,CA,50.23,-63.6,28.4,68,1,11.41,clear sky
264,Lagoa,PT,39.05,-27.98,68.68,91,56,23.0,broken clouds
265,Pisco,PE,-13.7,-76.22,66.2,77,0,19.46,clear sky
266,Saint Anthony,US,45.02,-93.22,48.2,49,90,19.46,overcast clouds
267,Minab,IR,27.15,57.08,69.8,77,0,4.7,clear sky
268,Umm Bab,QA,25.21,50.81,77.0,69,1,4.7,clear sky
269,Deputatskiy,RU,69.3,139.9,-8.63,91,99,5.28,overcast clouds
270,San Cristobal,VE,7.77,-72.22,82.4,65,40,8.05,scattered clouds
271,Panguna,PG,-6.32,155.48,79.72,77,31,2.28,light rain
272,Port Blair,IN,11.67,92.75,79.74,81,10,5.03,clear sky
273,Holbeach,GB,52.8,0.01,50.0,82,66,5.01,broken clouds
274,Keti Bandar,PK,24.14,67.45,78.49,57,0,9.64,clear sky
275,Luanda,AO,-8.84,13.23,77.0,88,75,6.93,broken clouds
276,Shingu,JP,33.73,135.98,64.4,59,75,9.17,broken clouds
277,Noicattaro,IT,41.03,16.99,51.8,100,0,5.82,clear sky
278,Uige,AO,-7.61,15.06,67.64,93,98,2.48,overcast clouds
279,Faya,SA,18.39,42.45,62.6,33,0,3.36,clear sky
280,Port Hedland,AU,-20.32,118.57,77.0,78,0,12.75,clear sky
281,Zhifang,CN,30.35,114.32,60.8,100,20,2.24,mist
282,Beihai,CN,21.48,109.1,73.96,86,62,5.39,broken clouds
283,Shubarshi,KZ,48.59,57.19,43.81,54,91,8.57,overcast clouds
284,Mezen,RU,65.85,44.24,29.68,95,38,6.44,scattered clouds
285,Eydhafushi,MV,5.1,73.07,81.95,69,4,4.81,clear sky
286,Port Lincoln,AU,-34.73,135.87,58.57,79,3,13.85,clear sky
287,Sambava,MG,-14.27,50.17,67.17,80,4,10.25,clear sky
288,Maceio,BR,-9.67,-35.74,77.0,88,40,6.93,scattered clouds
289,Fairlie,GB,55.76,-4.86,48.0,75,20,17.22,few clouds
290,Manokwari,ID,-0.87,134.08,84.2,68,62,7.63,broken clouds
291,Kasangulu,CD,-4.59,15.17,80.6,83,20,1.39,few clouds
292,Cherskiy,RU,68.75,161.3,10.87,89,96,3.0,overcast clouds
293,Kapoeta,SS,4.77,33.59,79.45,48,47,8.12,scattered clouds
294,Mareeba,AU,-17.0,145.43,87.01,61,0,11.41,clear sky
295,Atambua,ID,-9.11,124.89,80.67,61,70,1.7,broken clouds
296,Te Karaka,NZ,-38.47,177.87,73.45,35,74,8.61,broken clouds
297,Leh,IN,34.17,77.58,27.7,74,11,1.01,few clouds
298,Inongo,CD,-1.95,18.27,73.0,87,73,5.5,broken clouds
299,Port Hardy,CA,50.7,-127.42,50.0,76,90,9.17,overcast clouds
300,Moree,AU,-29.47,149.85,69.8,43,0,7.61,clear sky
301,Eyl,SO,7.98,49.82,78.84,75,8,10.02,clear sky
